cell,animal,layer,type,pharma,drug,epsp,epsp_pk,epsp_latency,epsp_halfwidth,ipsp,ipsp_pk,ipsp_latency,ipsp_halfwidth
573_S1C1_D,573,l1,l1_in,glut_nbqxapv,baseline,10.3116614,11.0210904,3.98646,26.502358,NA,-0.661794619,NA,NA
578_S1C1_D,578,l1,l1_in,glut_nbqxapv,baseline,8.5998268,8.8254916,3.422895833,9.605109792,NA,-0.48957556,NA,NA
676_S1C2,676,l1,l1_in,glut_nbqxapv,baseline,7.419887667,7.672911,2.395233333,21.21300333,NA,-0.36021328,NA,NA
737_S3C2,737,l1,l1_in,glut_nbqxapv,baseline,17.91882667,18.29807,3.226833333,11.89597933,NA,-0.885259,NA,NA
745_S1C1,745,l1,l1_in,glut_nbqxapv,baseline,9.2414576,9.5374438,2.24338,13.4819834,NA,-0.57818074,NA,NA
573_S1C1_D,573,l1,l1_in,glut_nbqxapv,nbqx,0.89539188,1.17545436,NA,NA,NA,-0.481204528,NA,NA
578_S1C1_D,578,l1,l1_in,glut_nbqxapv,nbqx,0.86042538,1.0713787,NA,NA,NA,-0.55355914,NA,NA
676_S1C2,676,l1,l1_in,glut_nbqxapv,nbqx,1.55229772,1.65493818,3.697697674,31.75489767,NA,-0.36081185,NA,NA
737_S3C2,737,l1,l1_in,glut_nbqxapv,nbqx,2.263529,3.087333667,4.744166667,11.8668395,NA,-1.514229367,NA,NA
745_S1C1,745,l1,l1_in,glut_nbqxapv,nbqx,0.519188404,0.96328534,NA,NA,NA,-0.64671322,NA,NA
573_S1C1_D,573,l1,l1_in,glut_nbqxapv,nbqxapv,-0.186367462,0.758674102,NA,NA,NA,-0.85598074,NA,NA
578_S1C1_D,578,l1,l1_in,glut_nbqxapv,nbqxapv,0.159496599,0.88905028,NA,NA,NA,-1.12257366,NA,NA
676_S1C2,676,l1,l1_in,glut_nbqxapv,nbqxapv,0.00123864,0.319830682,NA,NA,NA,-0.389794054,NA,NA
737_S3C2,737,l1,l1_in,glut_nbqxapv,nbqxapv,0.17629998,2.206894633,NA,NA,NA,-1.947270167,NA,NA
745_S1C1,745,l1,l1_in,glut_nbqxapv,nbqxapv,0.027070225,0.6631977,NA,NA,NA,-0.73467752,NA,NA
739_S3C2,739,l2,l2_in,glut_nbqxapv,baseline,1.07886996,1.49576376,4.733184211,5.160064234,NA,-0.404220818,NA,NA
776_S1C1,776,l2,l2_in,glut_nbqxapv,baseline,13.30326979,13.76101489,2.56793617,8.692263191,NA,-0.492972519,NA,NA
865_S2C1_J,865,l2,l2_in,glut_nbqxapv,baseline,12.56636733,12.877026,3.491965517,24.97622069,NA,-0.810474413,NA,NA
865_S4C1_J,865,l2,l2_in,glut_nbqxapv,baseline,16.83342333,17.21135,3.911333333,11.42560333,NA,-0.7573943,NA,NA
923_S4C1_J,923,l2,l2_in,glut_nbqxapv,baseline,0.46226465,0.774407925,NA,NA,NA,-0.27504596,NA,NA
918_S2C1_J,918,l2,l2_in,glut_nbqxapv,baseline,6.38434525,6.719104,2.135175,11.25259925,NA,-0.240662105,NA,NA
918_S3C3_J,918,l2,l2_in,glut_nbqxapv,baseline,7.7693495,7.94487525,2.165975,10.3701415,NA,-0.405047625,NA,NA
778_S1C1,778,l2,l2_in,glut_nbqxapv,baseline,1.539633067,2.139737,19.02243103,36.15475338,NA,-0.647241653,NA,NA
739_S3C2,739,l2,l2_in,glut_nbqxapv,nbqx,0.185881713,0.95076854,NA,NA,NA,-0.759605986,NA,NA
776_S1C1,776,l2,l2_in,glut_nbqxapv,nbqx,1.21039466,1.49265946,4.005444444,17.02133773,NA,-0.574778604,NA,NA
865_S2C1_J,865,l2,l2_in,glut_nbqxapv,nbqx,1.025464233,1.302150567,11.54427273,41.18075053,NA,-0.192641323,NA,NA
865_S4C1_J,865,l2,l2_in,glut_nbqxapv,nbqx,0.706018933,1.046495633,NA,NA,NA,-0.943088133,NA,NA
923_S4C1_J,923,l2,l2_in,glut_nbqxapv,nbqx,0.024515062,0.266020932,NA,NA,NA,-0.270478584,NA,NA
918_S2C1_J,918,l2,l2_in,glut_nbqxapv,nbqx,0.107718328,0.2736738,NA,NA,NA,-0.234920365,NA,NA
918_S3C3_J,918,l2,l2_in,glut_nbqxapv,nbqx,0.123648371,0.367356141,NA,NA,NA,-0.365962579,NA,NA
778_S1C1,778,l2,l2_in,glut_nbqxapv,nbqx,0.237935007,0.67218576,NA,NA,NA,-0.912189033,NA,NA
739_S3C2,739,l2,l2_in,glut_nbqxapv,nbqxapv,-0.070473642,0.557919002,NA,NA,NA,-0.728278492,NA,NA
776_S1C1,776,l2,l2_in,glut_nbqxapv,nbqxapv,0.061337715,0.61215894,NA,NA,NA,-0.626403456,NA,NA
865_S2C1_J,865,l2,l2_in,glut_nbqxapv,nbqxapv,0.134613807,1.601577943,NA,NA,NA,-1.278630413,NA,NA
865_S4C1_J,865,l2,l2_in,glut_nbqxapv,nbqxapv,0.541172352,0.95208482,NA,NA,NA,-0.8989568,NA,NA
923_S4C1_J,923,l2,l2_in,glut_nbqxapv,nbqxapv,-0.00482536,0.310472058,NA,NA,NA,-0.306402068,NA,NA
918_S2C1_J,918,l2,l2_in,glut_nbqxapv,nbqxapv,0.008088952,0.3218169,NA,NA,NA,-0.31521535,NA,NA
918_S3C3_J,918,l2,l2_in,glut_nbqxapv,nbqxapv,0.069915292,0.339547225,NA,NA,NA,-0.315373963,NA,NA
517_S3C1,517,l2,l2_pc,glut_nbqxapv,baseline,13.97530426,14.23325532,1.897531915,6.665559149,-5.725105957,-6.282051277,32.70180851,146.7048426
576_S3C1,576,l2,l2_pc,glut_nbqxapv,baseline,26.128602,30.54583636,2.75596,13.4657072,-4.156339,-3.063540455,65.66298,194.6312857
599_S1C1,599,l2,l2_pc,glut_nbqxapv,baseline,3.359183429,3.598979429,2.475342857,25.08741143,-0.826232743,-1.150127429,NA,NA
675_S3C1,675,l2,l2_pc,glut_nbqxapv,baseline,11.0699685,11.2972005,2.10905,19.14563,NA,-0.7891988,NA,NA
517_S3C1,517,l2,l2_pc,glut_nbqxapv,nbqx,7.643953061,7.950893061,4.824020833,94.08458776,3.7620916,-0.325557387,NA,NA
576_S3C1,576,l2,l2_pc,glut_nbqxapv,nbqx,8.3409882,8.4890266,5.074574468,75.96451702,1.66533402,-0.202850266,NA,NA
599_S1C1,599,l2,l2_pc,glut_nbqxapv,nbqx,0.48431228,0.70490772,NA,NA,0.173538468,-0.275092348,NA,NA
675_S3C1,675,l2,l2_pc,glut_nbqxapv,nbqx,1.9411794,2.1888725,3.381473684,23.46875789,NA,-0.44378415,NA,NA
517_S3C1,517,l2,l2_pc,glut_nbqxapv,nbqxapv,0.329249328,0.792576796,NA,NA,0.240636522,-0.327048052,NA,NA
576_S3C1,576,l2,l2_pc,glut_nbqxapv,nbqxapv,0.14590371,0.432332306,NA,NA,0.050933494,-0.410167652,NA,NA
599_S1C1,599,l2,l2_pc,glut_nbqxapv,nbqxapv,0.068724273,0.43812902,NA,NA,0.063069468,-0.381871016,NA,NA
675_S3C1,675,l2,l2_pc,glut_nbqxapv,nbqxapv,0.129060514,0.651729367,NA,NA,NA,-0.66337529,NA,NA
573_S1C1,573,l2,l2_sc,glut_nbqxapv,baseline,2.31657,2.5282886,2.419958333,5.693218542,-1.37646508,-1.6770868,17.35846,89.477092
582_S1C1,582,l2,l2_sc,glut_nbqxapv,baseline,3.8339436,4.0019494,1.967125,25.66964792,-0.32471673,-0.68055038,NA,NA
737_S2C1,737,l2,l2_sc,glut_nbqxapv,baseline,0.571645578,0.78138608,NA,NA,NA,-0.416113428,NA,NA
778_S2C1,778,l2,l2_sc,glut_nbqxapv,baseline,9.1054426,9.3098238,2.57028,33.9792,-0.66952552,-1.08192678,NA,NA
